id,text,created_at
159,Do you know why George Washington 's father forgive him? Because Washington still holding the axe,2024-11-25 16:11:26.344571
160,"What did one suicide bomber say to the next? Nothing, he just waved. #punchlinesthatdontwork",2024-11-25 16:11:26.344572
161,A guy walks into a doctors office with a carrot in his ear and a piece of celery up his nose. The doctor told him he wasn't eating right.,2024-11-25 16:11:26.344573
162,Why did the mafia cross the road? Hey forget about it,2024-11-25 16:11:26.344574
163,Meatballs have bread crumbs inside them. Meat plus bread means that a meatball is actually a sandwich.,2024-11-25 16:11:26.344574
164,If you drop your cellphone in water put it in a bowl of rice... It will attract an Asian who will fix it for you. (just heard from buddy of mine),2024-11-25 16:11:26.344575
165,This doughnut scented car air freshener will more than pay for itself next time I get pulled over.,2024-11-25 16:11:26.344576
166,My local police chief does a talk on heroin... So you can't understand any of it.,2024-11-25 16:11:26.344576
167,"Patient: Doctor please kiss me! Doctor: I am sorry, I can't! My code of ethics forbids me to kissing my patients. Honestly speaking we should not be having sex either.",2024-11-25 16:11:26.344577
168,How do you get an Indian girl pregnant? Poppadom.,2024-11-25 16:11:26.344578
169,What's the best part of living in Alabama? You don't live in Mississippi.,2024-11-25 16:11:26.344579
170,"If ever I commit murder, I'm doing it with Indian flatbread. Naan violent crimes get shorter sentences in respect for their counterparts.",2024-11-25 16:11:26.344579
171,me: what's ur favorite thing on the menu waiter: oh definitely the salmon me: oh yes ok i'll have the *orders something that is not salmon*,2024-11-25 16:11:26.344580
172,How does a crackhead order their whiskey? On the rocks,2024-11-25 16:11:26.344581
173,Bud light is alot like sex in a canoe... It's fucking close to water,2024-11-25 16:11:26.344582
174,The only time my car goes 0-100 real fast. Is when it's sitting in broad daylight on a summer day.,2024-11-25 16:11:26.344582
175,"Two antennas fell in love.. Two antennas met on a roof, fell in love, and got married. The ceremony wasn't much, but the reception was excellent.",2024-11-25 16:11:26.344583
176,"[stops girl before she walks in the puddle] ""I got this one babe, *pulling out a straw* stand back""",2024-11-25 16:11:26.344584
177,I'm good friends with 25 letters of the alphabet... I don't know y.,2024-11-25 16:11:26.344584
178,"best joke When my three-year-old was told to pee in a cup at the doctor's office, he unexpectedly got nervous. With a shaking voice, he asked, ""Do I have to drink it",2024-11-25 16:11:26.344585
179,How many potatoes does it take to kill an Irish man? None,2024-11-25 16:11:26.344586
180,What do you call a gangster who is really in touch with his emotions? An emo-g ,2024-11-25 16:11:26.344587
181,What was the dog doing on the turnpike? About seven miles an hour.,2024-11-25 16:11:26.344587
182,I asked my chemistry teacher if we can revise oxides Because im a bit rusty,2024-11-25 16:11:26.344588
183,"Scientists report global context shortage. ""I guess I'll have flan,"" some scientist said, totally out of context.",2024-11-25 16:11:26.344589
184,"[in hell] Me: *sneeze* The devil: bless you Me, waving as I float to heaven: haha, fool the devil: DAMN YOU Me, floating back to hell: dang",2024-11-25 16:11:26.344589
185,Feminism thats the joke,2024-11-25 16:11:26.344590
186,Just once I want to wake up to something exciting. *Wakes up next to spider crawling on pillow.,2024-11-25 16:11:26.344591
187,"i like to write the word ""gullible"" on the ceiling then say ""hey, look it says gullible on the ceiling."" i don't really understand jokes.",2024-11-25 16:11:26.344592
188,Do you believe in life after love? Ted Bundy apparently didn't.,2024-11-25 16:11:26.344592
189,"Look, if all you have is candy corn in this van, I'm going to have to get out.",2024-11-25 16:11:26.344593
190,What's the difference between pizza and a jew? Pizza doesn't scream when you put it in the oven.,2024-11-25 16:11:26.344594
191,The best thing to do on New Years Eve is set the microwave timer with the countdown so the first thing that happens that year is Pizza Rolls,2024-11-25 16:11:26.344595
192,"My sister had a threesome with two huge pornstars. Now she's not sure if she had a good time or not. Truth is, she's a little torn.",2024-11-25 16:11:26.344595
193,So apparently it's rude if somebody asks if you have a light & you tell them they'll have to go to the end of the tunnel to find it...,2024-11-25 16:11:26.344596
194,What's the difference between Adolf Hitler and Kurt Cobain? Hitler had a reason to kill himself.,2024-11-25 16:11:26.344597
195,"If Reese Witherspoon doesn't call her poop ""Reese's Feces"" she's missing out on a clear opportunity to be awesome.",2024-11-25 16:11:26.344597
196,"A joke my grandfather told me about insecurity Never mind, it's stupid",2024-11-25 16:11:26.344598
197,I'm the most anti-social person I know,2024-11-25 16:11:26.344599
198,What do you call a blonde on a college campus? A visitor,2024-11-25 16:11:26.344600
199,"What I say to someone who's being crabby: Clam down, I'm shore it'll be fine.",2024-11-25 16:11:26.344600
200,What is a support group for lesbian mathematicians called? Number Munchers!,2024-11-25 16:11:26.344601
